Partlist

Exported from PhantomDriver_ER150D.sch at 2020/07/16 14:41

EAGLE Version 7.4.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 80Hz 1Vo-p

Part     Value                   Device                  Package                 Library          Sheet

TP7      TP-LC3G                 TP-LC3G                 TP_TH_0R9MM             AEL_terminal     1
TP8      TP-LC3G                 TP-LC3G                 TP_TH_0R9MM             AEL_terminal     1
TP9      TP-LC3G                 TP-LC3G                 TP_TH_0R9MM             AEL_terminal     1
TP11     TP-1MMPAD               TP-1MMPAD               TP_PAD_1MM              AEL_terminal     4
TP12     TP-1MMPAD               TP-1MMPAD               TP_PAD_1MM              AEL_terminal     4
TP13     TP-1MMPAD               TP-1MMPAD               TP_PAD_1MM              AEL_terminal     4
TP14     TP-1MMPAD               TP-1MMPAD               TP_PAD_1MM              AEL_terminal     4
TP15     TP-LC3G                 TP-LC3G                 TP_TH_0R9MM             AEL_terminal     4
U1       OPA2344EA               OPA2344EA               MSO8_AEL                AEL_linear       1
U2       OPA2344EA               OPA2344EA               MSO8_AEL                AEL_linear       1
U3       TS5A23159DGS            TS5A23159DGS            MSOP10                  AEL_linear       1
U4       TPS79933DDC             TPS79933DDC             SOT-23-5                AEL_linear       1
U5       OPA2344EA               OPA2344EA               MSO8_AEL                AEL_linear       1
U6       TPS3808G01DBV           TPS3808G01DBV           SOT-23                  AEL_linear       1
U7       NJU7108F3               NJU7108F3               SC88A                   AEL_linear       1
U8       OPA2344EA               OPA2344EA               MSO8_AEL                AEL_linear       1
U9       TS5A23159DGS            TS5A23159DGS            MSOP10                  AEL_linear       1
U10      74VHC4052AFT            74VHC4052AFT            TSSOP16-P-044-065A      AEL_CMOS_LOG     1
U11      AD8227ARZ               AD8227ARZ               SO8_AEL                 AEL_linear       1
U12      MAX4617CUE+             MAX4617CUE+             TSSOP16_AEL             AEL_linear       2
U14      MAX4617CUE+             MAX4617CUE+             TSSOP16_AEL             AEL_linear       2
U16      MAX4617CUE+             MAX4617CUE+             TSSOP16_AEL             AEL_linear       2
U18      MAX4617CUE+             MAX4617CUE+             TSSOP16_AEL             AEL_linear       2
U20      MAX4617CUE+             MAX4617CUE+             TSSOP16_AEL             AEL_linear       2
U22      MAX4617CUE+             MAX4617CUE+             TSSOP16_AEL             AEL_linear       2
U23      MAX4617CUE+             MAX4617CUE+             TSSOP16_AEL             AEL_linear       2
U25      MAX4617CUE+             MAX4617CUE+             TSSOP16_AEL             AEL_linear       2
U26      TPS79933DDC             TPS79933DDC             SOT-23-5                AEL_linear       4
U27      5M160ZT100              5M160ZT100              QFP100_0.5              AEL_CMOS_LOG     4
U28      TPS79918DDC             TPS79918DDC             SOT-23-5                AEL_linear       4
U29      74VHC9541FT             74VHC9541FT             TSSOP20-P-0044-065A     AEL_CMOS_LOG     4
U30      TLP291GR                TLP291GR                SO4(11-3C1)(TOSHIBA)    AEL_photocoupler 4
